,accuracy,algorithm,average_precision_score,dataset_path,f1_score,features,outlier_percentage,params,precision,samples,time_taken
0,0.8285434356629654,zscore,0.15594855305466238,datasets/csv/musk.csv,0.2698191933240612,167,96.83213585891575,{'threshold': 3.5},0.15594855305466238,3062,22.122175216674805
1,0.9285714285714286,zscore,0.2726521164021164,datasets/csv/wbc.csv,0.49056603773584906,31,94.44444444444444,{'threshold': 3.5},0.40625,378,1.2608304023742676
2,0.9939686369119421,zscore,0.5290297972300725,datasets/csv/satimage-2.csv,0.7154471544715447,37,98.77649491642254,{'threshold': 3.5},0.8461538461538461,5803,17.980481147766113
3,0.9158878504672897,zscore,0.04748418767110356,datasets/csv/glass.csv,0.09999999999999999,10,95.7943925233645,{'threshold': 3.5},0.09090909090909091,214,1.7756896018981934
4,0.9649725274725275,zscore,0.04032051282051283,datasets/csv/vowels.csv,0.03773584905660377,13,96.56593406593407,{'threshold': 3.5},0.3333333333333333,1456,4.62058424949646
5,0.9142545057345712,zscore,0.382625417634942,datasets/csv/cardio.csv,0.5879265091863518,22,90.38776624795194,{'threshold': 3.5},0.5463414634146342,1831,7.423277139663696
6,0.7532552939629094,zscore,0.20491813735700357,datasets/csv/mnist.csv,0.36449864498644985,101,90.79310798369065,{'threshold': 3.5},0.238898756660746,7603,20.933154344558716
7,0.6410256410256411,zscore,0.358974358974359,datasets/csv/ionosphere.csv,0.0,34,64.1025641025641,{'threshold': 3.5},0.0,351,2.0426952838897705
8,0.970038673336416,zscore,0.0052290558569066,datasets/csv/smtp.csv,0.014517801590044937,4,99.96847282357392,{'threshold': 3.5},0.007334963325183374,95156,122.9527645111084
9,0.8992248062015504,zscore,0.08976744186046512,datasets/csv/wine.csv,0.13333333333333333,14,92.24806201550388,{'threshold': 3.5},0.2,129,1.657029151916504
10,0.6793557833089312,zscore,0.40305228259858644,datasets/csv/breastw.csv,0.16091954022988506,10,65.00732064421669,{'threshold': 3.5},0.9545454545454546,683,4.042253732681274
11,0.8666666666666667,zscore,0.125,datasets/csv/vertebral.csv,0.0,7,87.5,{'threshold': 3.5},0.0,240,2.345776081085205
12,0.936421353840651,zscore,0.09267039914007291,datasets/csv/mammography.csv,0.25236593059936907,7,97.67504247518555,{'threshold': 3.5},0.1736613603473227,11183,19.784170627593994
13,0.9929145124740528,zscore,0.3547817715019255,datasets/csv/http.csv,0.523747483122113,4,99.61039510271402,{'threshold': 3.5},0.3547817715019255,567498,354.35154700279236
14,0.9256756756756757,zscore,0.21864171864171864,datasets/csv/lympho.csv,0.42105263157894735,19,95.94594594594594,{'threshold': 3.5},0.3076923076923077,148,0.8575534820556641
15,0.9703056768558952,zscore,0.03901514172760394,datasets/csv/pendigits.csv,0.1282051282051282,17,97.7292576419214,{'threshold': 3.5},0.19230769230769232,6870,14.950132608413696
16,0.8092407975460123,zscore,0.028757668711656442,datasets/csv/optdigits.csv,0.0,65,97.12423312883436,{'threshold': 3.5},0.0,5216,17.97051739692688
17,0.9125,zscore,0.0775,datasets/csv/letter.csv,0.14634146341463414,33,93.75,{'threshold': 3.5},0.1875,1600,7.203269004821777
18,0.65234375,zscore,0.369067094564491,datasets/csv/pima.csv,0.20298507462686566,9,65.10416666666666,{'threshold': 3.5},0.5074626865671642,768,2.3848297595977783
19,0.5685840707964602,zscore,0.20080778414433784,datasets/csv/arrhythmia.csv,0.3389830508474576,275,85.39823008849558,{'threshold': 3.5},0.2183406113537118,452,8.322633981704712
20,0.9687290244993847,zscore,0.07791785468867,datasets/csv/cover.csv,0.22960985272586343,11,99.03967166349703,{'threshold': 3.5},0.15038357400722022,286048,256.5615358352661
21,0.7582745523602822,zscore,0.016057777021091367,datasets/csv/speech.csv,0.02622950819672131,401,98.34508952794357,{'threshold': 3.5},0.01405152224824356,3686,24.72673463821411
22,0.9055555555555556,zscore,0.09169505934745747,datasets/csv/annthyroid.csv,0.15211970074812967,7,92.58333333333333,{'threshold': 3.5},0.22761194029850745,7200,13.33069920539856
23,0.9763529339878201,zscore,0.6920636650748554,datasets/csv/shuttle.csv,0.8073029045643153,10,92.84885023524859,{'threshold': 3.5},0.9673826571201273,49097,79.30856084823608
24,1.0,zscore,,datasets/csv/ecoli.csv,0.0,8,100.0,{'threshold': 3.5},0.0,336,2.962268352508545
25,0.6902874902874903,zscore,0.3308323525415863,datasets/csv/satellite.csv,0.04136604136604136,37,68.36052836052836,{'threshold': 3.5},1.0,6435,14.467823266983032
26,0.954135737009544,zscore,0.08920685655111296,datasets/csv/thyroid.csv,0.26382978723404255,7,97.53446447507953,{'threshold': 3.5},0.21830985915492956,3772,13.40122365951538
